ATP5J2-PTCD1	G3V325
PSMB5	P28074
ABCD3	P28288
ELK4	P28324
PEX2	P28328
MAPK1	P28482
MZF1	P28698
RXRB	P28702
ERCC5	P28715
LAP3	P28838
TPP2	P29144
MPG	P29372
TYK2	P29597
PRDX6	P30041
C21orf33	P30042
PRDX5	P30044
PRDX3	P30048
ATP5D	P30049
ECHS1	P30084
CMPK1	P30085
PEBP1	P30086
PPP2R1A	P30153
CDC27	P30260
PPIF	P30405
NMT1	P30419
HMOX2	P30519
LRPAP1	P30533
ADSL	P30566
POLR2B	P30876
SDHA	P31040
TIA1	P31483
AKT1	P31749
UQCRC1	P31930
HIBADH	P31937
ATIC	P31939
HNRNPH1	P31943
YWHAB	P31946
STIP1	P31948
PRDX2	P32119
DCTD	P32321
GTF2H1	P32780
DUT	P33316
MCM7	P33993
GALNS	P34059
HSPA4	P34932
MPI	P34949
CTNNA1	P35221
CTNNB1	P35222
BMI1	P35226
PHB	P35232
SERPINB6	P35237
NF2	P35240
RDX	P35241
RFC2	P35250
RFC1	P35251
GTF2F1	P35269
COPB2	P35606
BSG	P35613
DEK	P35659
PPM1A	P35813
PSMC2	P35998
MAP2K2	P36507
ZNF76	P36508
ATP5C1	P36542
ATP6V1E1	P36543
CPOX	P36551
RPL4	P36578
LONP1	P36776
PPP1CC	P36873
ACVR1B	P36896
POLR2I	P36954
DLST	P36957
GPX4	P36969
SRP14	P37108
NUP62	P37198
FDFT1	P37268
TALDO1	P37837
ETFB	P38117
RBMX	P38159
HSPA9	P38646
EIF4A3	P38919
DDOST	P39656
ANP32A	P39687
FEN1	P39748
CUX1	P39880
IL6ST	P40189
TXLNA	P40222
CCT6A	P40227
PBX2	P40425
ARL1	P40616
MLH1	P40692
STAT3	P40763
USP8	P40818
PEX19	P40855
RFC5	P40937
HADHA	P40939
ETV6	P41212
EIF2D	P41214
NAA10	P41227
KDM5C	P41229
GARS	P41250
IARS	P41252
EIF1	P41567
ACTR1B	P42025
ECI1	P42126
TMPO	P42166
TMPO	P42167
SKIV2L2	P42285
PIK3CB	P42338
PI4KA	P42356
CASP3	P42574
HELZ	P42694
RBM34	P42696
LRPPRC	P42704
RPL35	P42766
HTT	P42858
PAFAH1B1	P43034
BTD	P43251
SSR1	P43307
SSR2	P43308
RANBP1	P43487
NAMPT	P43490
PSMC4	P43686
TSFM	P43897
CBX5	P45973
USP5	P45974
MAPK8	P45983
MAPK9	P45984
RANGAP1	P46060
NOP2	P46087
CRK	P46108
CRKL	P46109
BAG6	P46379
RPS5	P46782
GNPDA1	P46926
STT3A	P46977
CAPZA2	P47755
CAPZB	P47756
ATP5O	P48047
PREP	P48147
IREB2	P48200
ATP5G3	P48201
ARCN1	P48444
LSS	P48449
GCLC	P48506
GCLM	P48507
NRIP1	P48552
TRAPPC10	P48553
PSMD8	P48556
PRRC2A	P48634
GSS	P48637
CCT5	P48643
PTDSS1	P48651
CSNK1A1	P48729
CSNK1D	P48730
PITPNB	P48739
POLD2	P49005
MAPKAPK2	P49137
ALDH9A1	P49189
RPL34	P49207
LMAN1	P49257
CDK8	P49336
FNTA	P49354
FNTB	P49356
DHPS	P49366
CCT3	P49368
MRPL19	P49406
TUFM	P49411
SRP9	P49458
UBE2A	P49459
PCYT1A	P49585
AARS	P49588
CARS	P49589
SARS	P49591
MAN2A2	P49641
CTCF	P49711
PSMB3	P49720
PSMB2	P49721
ACADVL	P49748
TMED10	P49755
CLK3	P49761
PSEN1	P49768
EIF2B2	P49770
HINT1	P49773
NUP153	P49790
RANBP2	P49792
PSEN2	P49810
TSC2	P49815
NDUFV1	P49821
GSK3A	P49840
GSK3B	P49841
SEPHS1	P49903
LIG3	P49916
LIG4	P49917
IDH3A	P50213
GDI2	P50395
EMD	P50402
MXI1	P50539
PEX5	P50542
DNM2	P50570
METAP2	P50579
NUDT2	P50583
TOB1	P50616
CDK9	P50750
RPL14	P50914
CCT8	P50990
CCT4	P50991
PAPOLA	P51003
RAB5C	P51148
RAB7A	P51149
RAB9A	P51151
DAP3	P51398
SMARCA2	P51531
SMARCA4	P51532
IDH3G	P51553
BCAP31	P51572
MECP2	P51608
HCFC1	P51610
IRAK1	P51617
ALDH3A2	P51648
HSD17B4	P51659
PSMD7	P51665
CLCN3	P51790
CLCN7	P51798
RPS6KA3	P51812
ZNF41	P51814
HDGF	P51858
CCNH	P51946
MNAT1	P51948
NEK4	P51957
CCNG1	P51959
UBE2E1	P51965
NDUFA8	P51970
HNRNPM	P52272
KPNA1	P52294
NCBP2	P52298
POLR2H	P52434
POLR2J	P52435
ARHGDIA	P52565
AGFG1	P52594
HNRNPF	P52597
GTF2A1	P52655
MSH6	P52701
ZNF131	P52739
ZNF134	P52741
ZNF138	P52744
ZNF142	P52746
ZNF143	P52747
RBM5	P52756
MRPL12	P52815
NDST1	P52848
THOP1	P52888
PPP5C	P53041
ARFIP2	P53365
ARFIP1	P53367
NUBP1	P53384
ACLY	P53396
CEBPG	P53567
METAP1	P53582
SUCLG1	P53597
MVD	P53602
RABGGTB	P53611
COPB1	P53618
COPA	P53621
AP2S1	P53680
HCCS	P53701
POLR2K	P53803
RCAN1	P53805
IST1	P53990
SEC24C	P53992
SUB1	P53999
POLG	P54098
CLNS1A	P54105
RARS	P54136
PMS1	P54277
OAZ1	P54368
YARS	P54577
USP14	P54578
PRKAG1	P54619
RAD23B	P54727
AK2	P54819
